path	atom_id	rule	excerpt
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/compassion_fatigue/CANONICAL.txt	COMPOSITE_DOCTRINE v26	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/compassion_fatigue/CANONICAL.txt	COMPOSITE_DOCTRINE v27	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/compassion_fatigue/CANONICAL.txt	COMPOSITE_DOCTRINE v28	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/compassion_fatigue/CANONICAL.txt	COMPOSITE_DOCTRINE v29	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/compassion_fatigue/CANONICAL.txt	COMPOSITE_DOCTRINE v30	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/compassion_fatigue/CANONICAL.txt	COMPOSITE_DOCTRINE v31	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/compassion_fatigue/CANONICAL.txt	COMPOSITE_DOCTRINE v32	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/compassion_fatigue/REFLECTION/CANONICAL.txt		secular	mary
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/compassion_fatigue/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v01	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/compassion_fatigue/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v02	shape	shape:paragraph_count:8 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/compassion_fatigue/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v03	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/compassion_fatigue/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v04	shape	shape:paragraph_count:8 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/compassion_fatigue/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v05	shape	shape:paragraph_count:8 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/compassion_fatigue/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v06	shape	shape:paragraph_count:8 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/compassion_fatigue/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v07	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/compassion_fatigue/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v08	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/compassion_fatigue/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v09	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/compassion_fatigue/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v10	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/compassion_fatigue/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v11	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/compassion_fatigue/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v12	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v01	shape	shape:paragraph_count:9 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v02	shape	shape:paragraph_count:8 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v03	shape	shape:paragraph_count:9 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v04	shape	shape:paragraph_count:8 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v05	shape	shape:paragraph_count:8 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v06	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v07	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v08	shape	shape:paragraph_count:8 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v09	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v10	shape	shape:paragraph_count:8 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v11	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v12	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v13	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v14	shape	shape:paragraph_count:8 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v15	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v16	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v17	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v18	shape	shape:paragraph_count:8 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v19	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v20	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v21	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v22	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v23	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v24	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v25	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v26	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v27	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v28	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v29	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v30	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v31	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/CANONICAL.txt	COMPOSITE_DOCTRINE v32	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v01	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v02	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v03	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v04	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v05	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v06	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v07	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v08	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v09	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v10	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v11	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/courage/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v12	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v01	shape	shape:paragraph_count:8 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v02	shape	shape:paragraph_count:8 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v03	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v04	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v05	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v06	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v07	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v08	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v09	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v10	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v11	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v12	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v13	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v14	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v15	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v16	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v17	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v18	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v19	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v20	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v21	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v22	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v23	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v24	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v25	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v26	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v27	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v28	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v29	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v30	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v31	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v32	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v33	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v34	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v35	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v36	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v37	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/CANONICAL.txt	COMPOSITE_DOCTRINE v38	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v01	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v02	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v03	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v04	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v05	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v06	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v07	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v08	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v09	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v10	shape	shape:paragraph_count:5 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v11	shape	shape:paragraph_count:5 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v12	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v13	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v14	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/depression/REFLECTION/CANONICAL.txt	COMPOSITE_DOCTRINE v15	shape	shape:paragraph_count:5 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v01	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v02	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v03	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v04	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v05	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v06	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v07	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v08	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v09	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v10	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v11	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v12	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v13	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v14	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v15	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v16	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v17	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v18	shape	shape:paragraph_count:7 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v19	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v20	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v21	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v22	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v23	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v24	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v25	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v26	shape	shape:paragraph_count:6 (expected 3)
/Users/ahjan/phoenix_omega/SOURCE_OF_TRUTH/composite_doctrine/financial_anxiety/CANONICAL.txt	COMPOSITE_DOCTRINE v27	shape	shape:paragraph_count:6 (expected 3)
